GrapNet	arxiv	arxiv:2606.18923; paper-only, no implementation located in sweep	dynamic executable architecture graph: GrapNode vector parent interfaces	float32	programmable dynamic neural graph substrate	programmable-neural-graph/continual-learning	2026	arXiv:2606.18923; date=2026-06-17; distinct primitive: network topology is an editable executable child-owned graph with trainable allocation vectors and topology edits reflected in parameter coordinates; grep-verified absent via GrapNet/GrapNode/dynamic-architecture neural graph/graph-as-network.
mmseg_segnext	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='LightHamHead'; configs/segnext/; random init	(1, 3, 512, 512)	float32	segnext	vision/segmentation	2022	SegNeXt (MSCAN encoder + Hamburger head)
mmseg_mask2former_seg	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='Mask2FormerHead'; configs/mask2former_seg/; random init	(1, 3, 512, 512)	float32	mask2former-seg	vision/segmentation	2021	Mask2Former semantic head (mmseg)
mmseg_maskformer_seg	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='MaskFormerHead'; configs/maskformer_seg/; random init	(1, 3, 512, 512)	float32	maskformer-seg	vision/segmentation	2021	MaskFormer semantic head (mmseg)
mmseg_pspnet	mmsegmentation (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmseg.registry.MODELS.build(cfg)  # type=EncoderDecoder, decode_head.type='PSPHead'; configs/pspnet/; random init	(1, 3, 512, 512)	float32	pspnet-mmseg	vision/segmentation	2017	Pyramid scene parsing head (mmseg impl)
mmpose_dekr	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='DEKRHead'; random init	(1, 3, 512, 512)	float32	dekr	vision/pose	2021	Disentangled keypoint regression bottom-up
mmpose_cid	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='CIDHead'; random init	(1, 3, 512, 512)	float32	cid	vision/pose	2022	Contextual instance decoupling bottom-up
mmpose_associative_embedding	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='AssociativeEmbedding'; random init	(1, 3, 512, 512)	float32	associative-embedding	vision/pose	2017	Bottom-up grouping via tag embeddings
mmpose_cpm	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='CPMHead'; random init	(1, 3, 256, 256)	float32	cpm	vision/pose	2016	Convolutional pose machines stacked stages
mmpose_hourglass	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='HourglassNet'; random init	(1, 3, 256, 256)	float32	stacked-hourglass	vision/pose	2016	Stacked hourglass keypoint net
mmpose_rsn	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='RSNHead'; random init	(1, 3, 256, 256)	float32	rsn	vision/pose	2020	Residual steps network (delicate local rep)
mmpose_dark	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='HeatmapHead+DarkPose'; random init	(1, 3, 256, 256)	float32	darkpose	vision/pose	2020	Distribution-aware coordinate decode
mmpose_udp	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='HeatmapHead+UDP'; random init	(1, 3, 256, 256)	float32	udp-pose	vision/pose	2020	Unbiased data processing heatmap
mmpose_simcc	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='SimCCHead'; random init	(1, 3, 256, 256)	float32	simcc	vision/pose	2021	SimCC coordinate classification head
mmpose_ipr	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='IntegralRegressionHead'; random init	(1, 3, 256, 256)	float32	integral-regression	vision/pose	2018	Integral (soft-argmax) regression (DSNT)
mmpose_rtmo	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='RTMOHead'; random init	(1, 3, 640, 640)	float32	rtmo	vision/pose	2023	Real-time one-stage multi-person pose
mmpose_yoloxpose	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='YOLOXPoseHead'; random init	(1, 3, 640, 640)	float32	yoloxpose	vision/pose	2022	YOLOX-based one-stage pose
mmpose_edpose	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='EDPoseHead'; random init	(1, 3, 800, 1333)	float32	edpose	vision/pose	2023	Explicit box detection DETR pose
mmpose_vipnas	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='ViPNAS'; random init	(1, 3, 256, 256)	float32	vipnas	vision/pose	2021	Video pose NAS efficient backbone
mmpose_hrformer	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='HRFormer'; random init	(1, 3, 256, 256)	float32	hrformer	vision/pose	2021	High-resolution transformer pose backbone
mmpose_motionbert_3d	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='MotionBERT'; random init	(1, 243, 17, 3)	float32	motionbert-3d	vision/pose-3d	2022	3D pose lifting transformer
mmpose_videopose3d	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='TCN'; random init	(1, 243, 17, 2)	float32	videopose3d	vision/pose-3d	2018	Temporal conv 3D pose lifting
mmpose_simple3dbaseline	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='Simple3DBaseline'; random init	(1, 1, 17, 2)	float32	simple-3d-baseline	vision/pose-3d	2017	FC 2D->3D lifting baseline
mmpose_posewarper	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='PoseWarper'; random init	(1, 3, 256, 256)	float32	posewarper	vision/pose	2019	Video pose propagation warping
mmpose_interhand3d	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='InterNet'; random init	(1, 3, 256, 256)	float32	interhand3d	vision/pose-3d	2020	Interacting two-hand 3D pose net
mmpose_rtmw	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='RTMWHead'; random init	(1, 3, 384, 288)	float32	rtmw	vision/pose-wholebody	2023	RTMPose whole-body pose
mmpose_dwpose	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='RTMCC-distill'; random init	(1, 3, 384, 288)	float32	dwpose	vision/pose-wholebody	2023	Distilled whole-body pose (DWPose)
mmpose_animalpose_hrnet	mmpose (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmpose.registry.MODELS.build(cfg)  # type='TopdownPoseEstimator'/'BottomupPoseEstimator', head.type='HeatmapHead'; random init	(1, 3, 256, 256)	float32	animal-pose	vision/pose-animal	2021	Animal keypoint (AP-10K/Animal-Pose) HRNet head
mmocr_oclip_resnet	mmocr (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmocr.registry.MODELS.build(cfg)  # backbone CLIPResNet (oCLIP weakly-sup pretrain); random init	(1, 3, 224, 224)	float32	oclip	vision/ocr	2022	oCLIP vision-language pretrained ResNet backbone for scene text; NEW backbone (det/rec heads already cataloged)
mmagic_glean	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='GLEAN'; configs/glean/; random init	(1, 3, 32, 32)	float32	glean	vision/super-resolution	2021	Generative latent bank SR (StyleGAN prior)
mmagic_liif	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='LIIF'; configs/liif/; random init	(1, 3, 64, 64)	float32	liif	vision/super-resolution	2020	Local implicit image function continuous SR
mmagic_ttsr	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='TTSR'; configs/ttsr/; random init	(1, 3, 40, 40)	float32	ttsr	vision/super-resolution	2020	Texture transformer reference-based SR
mmagic_dic	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='DIC'; configs/dic/; random init	(1, 3, 16, 16)	float32	dic-sr	vision/super-resolution	2020	Deep iterative collaboration face SR
mmagic_flavr	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='FLAVR'; configs/flavr/; random init	(1, 4, 3, 256, 448)	float32	flavr	vision/frame-interpolation	2020	Flow-agnostic video frame interpolation (3D conv)
mmagic_cain	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='CAIN'; configs/cain/; random init	(1, 2, 3, 256, 448)	float32	cain	vision/frame-interpolation	2020	Channel attention frame interpolation
mmagic_tof	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='TOFlow'; configs/tof/; random init	(1, 7, 3, 256, 448)	float32	tof	vision/frame-interpolation	2017	Task-oriented flow video processing
mmagic_deblurganv2	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='DeblurGANv2'; configs/deblurganv2/; random init	(1, 3, 256, 256)	float32	deblurganv2	vision/deblur	2019	FPN-based GAN single-image deblur
mmagic_dim	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='DIM'; configs/dim/; random init	(1, 4, 320, 320)	float32	dim-matting	vision/matting	2017	Deep image matting (RGB+trimap encoder-decoder)
mmagic_indexnet	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='IndexNet'; configs/indexnet/; random init	(1, 4, 320, 320)	float32	indexnet-matting	vision/matting	2019	Indexed pooling/upsampling matting
mmagic_gca_matting	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='GCAMatting'; configs/gca_matting/; random init	(1, 4, 320, 320)	float32	gca-matting	vision/matting	2020	Guided contextual attention matting
mmagic_deepfillv1	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='DeepFillv1'; configs/deepfillv1/; random init	(1, 4, 256, 256)	float32	deepfillv1	vision/inpainting	2018	Generative inpainting w/ contextual attention (img+mask)
mmagic_deepfillv2	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='DeepFillv2'; configs/deepfillv2/; random init	(1, 4, 256, 256)	float32	deepfillv2	vision/inpainting	2019	Gated conv free-form inpainting
mmagic_partial_conv	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='PConvInpaintor'; configs/partial_conv/; random init	(1, 4, 256, 256)	float32	partial-conv	vision/inpainting	2018	Partial convolution irregular-hole inpainting
mmagic_aot_gan	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='AOTInpaintor'; configs/aot_gan/; random init	(1, 4, 256, 256)	float32	aot-gan	vision/inpainting	2021	Aggregated contextual transformations inpainting
mmagic_global_local	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='GLInpaintor'; configs/global_local/; random init	(1, 4, 256, 256)	float32	global-local-inpaint	vision/inpainting	2017	Globally+locally consistent inpainting
mmagic_inst_colorization	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='InstColorization'; configs/inst_colorization/; random init	(1, 1, 256, 256)	float32	inst-colorization	vision/colorization	2020	Instance-aware image colorization
mmagic_pggan	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='PGGAN'; configs/pggan/; random init	(1, 512)	float32	pggan	vision/gan	2017	Progressive growing GAN generator (latent in)
mmagic_singan	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='SinGAN'; configs/singan/; random init	(1, 3, 25, 32)	float32	singan	vision/gan	2019	Single-image multi-scale pyramid GAN (mmagic impl)
mmagic_positional_encoding_gan	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='MSPIEStyleGAN2'; configs/positional_encoding_gan/; random init	(1, 512)	float32	pe-gan	vision/gan	2020	Positional-encoding-as-spatial-inductive-bias GAN
mmagic_draggan	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='DragGAN'; configs/draggan/; random init	(1, 512)	float32	draggan	vision/gan-editing	2023	Interactive point-drag StyleGAN2 editing (mmagic impl)
mmagic_nafnet	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='NAFNet'; configs/nafnet/; random init	(1, 3, 256, 256)	float32	nafnet-mmagic	vision/restoration	2022	Nonlinear-activation-free restoration (mmagic config; class name distinct)
mmagic_restormer	mmagic (web; mmcv ABI-incompat torch2.8 -> source-catalog)	mmagic.registry.MODELS.build(cfg)  # type='Restormer'; configs/restormer/; random init	(1, 3, 256, 256)	float32	restormer-mmagic	vision/restoration	2021	Efficient transformer restoration (mmagic config)
ppdet_ppyoloe	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('PPYOLOE')  # configs/ppyoloe/; paddle, random init (no -o weights)	(1, 3, 640, 640)	float32	ppyoloe	vision/detection	2022	Anchor-free PP-YOLOE (CSPRepResNet + ET-head)
ppdet_ppyoloe_plus	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('PPYOLOEPlus')  # configs/ppyoloe_plus/; paddle, random init (no -o weights)	(1, 3, 640, 640)	float32	ppyoloe-plus	vision/detection	2022	PP-YOLOE+ (improved alignment)
ppdet_ppyolo	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('PPYOLO')  # configs/ppyolo/; paddle, random init (no -o weights)	(1, 3, 608, 608)	float32	ppyolo	vision/detection	2020	PP-YOLO (ResNet50-vd + tricks)
ppdet_ppyolov2	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('PPYOLOv2')  # configs/ppyolov2/; paddle, random init (no -o weights)	(1, 3, 640, 640)	float32	ppyolov2	vision/detection	2021	PP-YOLOv2 PAN + Mish
ppdet_picodet	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('PicoDet')  # configs/picodet/; paddle, random init (no -o weights)	(1, 3, 416, 416)	float32	picodet	vision/detection	2021	Ultra-lightweight mobile detector (ESNet+CSP-PAN+VFL)
ppdet_ttfnet	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('TTFNet')  # configs/ttfnet/; paddle, random init (no -o weights)	(1, 3, 512, 512)	float32	ttfnet	vision/detection	2019	Training-time-friendly center detector
ppdet_solov2	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('SOLOv2')  # configs/solov2/; paddle, random init (no -o weights)	(1, 3, 800, 1333)	float32	solov2-paddle	vision/detection	2020	Dynamic SOLOv2 instance seg (paddle)
ppdet_sparse_rcnn	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('SparseRCNN')  # configs/sparse_rcnn/; paddle, random init (no -o weights)	(1, 3, 800, 1333)	float32	sparse-rcnn-paddle	vision/detection	2020	Learnable proposal sparse R-CNN (paddle)
ppdet_detr	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('DETR')  # configs/detr/; paddle, random init (no -o weights)	(1, 3, 800, 1333)	float32	detr-paddle	vision/detection	2020	DETR (paddle impl)
ppdet_deformable_detr	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('DeformableDETR')  # configs/deformable_detr/; paddle, random init (no -o weights)	(1, 3, 800, 1333)	float32	deformable-detr-paddle	vision/detection	2020	Deformable DETR (paddle)
ppdet_dino	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('DINO')  # configs/dino/; paddle, random init (no -o weights)	(1, 3, 800, 1333)	float32	dino-paddle	vision/detection	2022	DINO DETR (paddle)
ppdet_group_detr	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('GroupDETR')  # configs/group_detr/; paddle, random init (no -o weights)	(1, 3, 800, 1333)	float32	group-detr	vision/detection	2022	Group-wise one-to-many DETR
ppdet_rtdetr	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('RTDETR')  # configs/rtdetr/; paddle, random init (no -o weights)	(1, 3, 640, 640)	float32	rtdetr-paddle	vision/detection	2023	Real-time DETR (paddle native impl)
ppdet_rtdetrv2	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('RTDETRv2')  # configs/rtdetrv2/; paddle, random init (no -o weights)	(1, 3, 640, 640)	float32	rtdetrv2-paddle	vision/detection	2024	RT-DETRv2 (paddle)
ppdet_mask_rtdetr	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('MaskRTDETR')  # configs/mask_rtdetr/; paddle, random init (no -o weights)	(1, 3, 640, 640)	float32	mask-rtdetr	vision/detection	2024	RT-DETR with instance mask head
ppdet_yolof	PaddleDetection (web; paddlepaddle source-catalog)	ppdet.core.workspace.create('YOLOF')  # configs/yolof/; paddle, random init (no -o weights)	(1, 3, 800, 1333)	float32	yolof-paddle	vision/detection	2021	YOLOF (paddle)
